word => count, index
कक्षा =>1516
ओमरजाई =>1
रानजुङ्ग =>1
ब्लेक =>2
ट्रनभल =>1
रेस्ट्रिक्सन =>1
खेलाउनु =>1
विभत्सु =>1
अरियो =>1
रावलपिण्डी =>3
बुझ्दछु =>1
सर्वोपरी =>1
सामकक्षी =>1
पीएनजीविरुद्ध =>1
उक्लँदा =>4
सिमेण्ट =>1
एड्नोक =>1
प्याट्रियोट्स =>2
युनाइटेडल =>1
एनगामालेग =>1
सिबात्सेउ =>1
भियारियल =>3
साल्जवर्ग =>5
साल्वगर्ज =>1
अडेयमी =>1
सुसिक =>1
सुसुकि =>1
राकिटिक =>1
नसरी =>1
भउन =>1
युइएफए =>5
क्याम्पनोउ =>2
मुसिएला =>1
लेजेण्ड =>7
किभ =>10
भेराने =>1
सोल्सायर =>2
उत्रनेछ =>2
मेरिका =>1
कानालेस =>1
जोहन =>3
मोजिका =>1
डेमराई =>1
बेनिटेजन =>1
जर्घामगर =>4
गुमाउनेछिन् =>1
ओल्मो =>12
स्पोट्र्स =>7
डिडियर =>1
फाबिन्हो =>2
आग्रता =>1
हार्भी =>1
गोलीगाँठो =>1
फवार्ड =>2
ब्रेथवेट =>2
उनस् =>1
उस्मान =>4
डेम्बे =>3
टेबास =>4
सीभीसी =>2
परेज =>2
हिन =>1
एटणलेटि =>1
उक्लेकाे =>1
स्पानयो =>1
जोल =>1
मोनसायलोलेआठौं =>1
म्याक्सिमिलयानो =>1
एरिडाने =>1
गुएडेज =>1
एलडेरेटे =>1
लेमनर =>1
टनेमस =>1
स्पानयोल =>1
म्यानचेष्ट =>1
एलान =>3
माहृम्मद =>1
स्ट्रजिक =>1
सान्टियागो =>7
बर्नबेउ =>1
शानदानर =>1
पूनरागमन =>1
बेन्जनमा =>1
इडुआर्डो =>2
कामाभिङगा =>1
सान्टि =>2
सेर्भी =>2
भलभर्डे =>1
गोलगर्दै =>4
मिनेटम =>2
डेब्युटान्ट =>4
बंगलादेशस =>1
लेभरकुन =>1
ब्रान्ट =>2
फ्लोरिन =>1
विट्ज =>1
डिएबी =>1
वल्फसवर्ग =>1
निरन्ता =>1
ग्रेथर =>1
छनोटट =>1
ज्याभिएर =>3
मानक्युइलो =>1
बर्नानर्डो =>1
लिएन्ड्रो =>1
ट्रोसार्ड =>1
चन्द्रपल =>1
जिम्बाव्वे =>1
रेयानखान =>1
गुयाना =>2
ओडसन =>1
एडुवार्ड =>5
जाफेट =>1
टाङ्गांगा =>1
बेनटेके =>1
पारालिम्पिक =>8
पलेसा =>1
दशरत्न =>1
काटेश्वर =>1
सम्मानति =>1
रियलम =>1
ड्रिड =>1
सिजनयता =>1
रासिद =>8
विश्वकपक =>1
किपर =>1
नजिबुल्लाह =>4
रहमनुल्लाह =>6
हज्रतुल्लाह =>1
जजाई =>2
उसमान =>2
अस्गर =>1
हशमतुलल्ह =>1
शाहिदी =>2
मुजि =>1
गुल्बादिन =>1
नइन =>1
शरफुद्दिन =>1
दवलत =>1
शापुर =>1
क्वाइस =>1
अफसर =>1
एअरवेज =>1
रंगशालाा =>2
डेब्यूटान्ट =>1
छाड्द =>1
अर्थान =>1
भुलवश =>1
पठाउए =>1
फुटबलकाे =>1
बाेलिभिया =>1
हराएकाे =>2
अाैं =>2
तस्राे =>1
ईक्वेडर =>1
काेलम्बिया =>1
लङटेनिस =>1
निशाद =>1
दर्सिल =>1
शिभाली =>2
मान्सा =>1
डामिएन =>1
साएमान्स्की =>1
अक =>2
सानमारिनो =>1
अल्वानिया =>1
डानिस =>3
परेट =>1
फोर्नाल्स =>3
खेल्द =>1
भण्डारीविना =>1
प्यारापिट =>3
चण्डीमाल =>6
सिमर =>1
डिरेक्सन =>1
इशन =>1
रिजर्स =>1
नेदरल्याण्ड् =>1
हरयो =>1
गुस =>1
टिल =>1
डोनयल =>1
सेनगिज =>1
काग्लर =>1
सोयन्जचु =>1
जिब्राल्टर =>2
टायम =>1
थोर्सटेभ =>1
एलेक्जान्डर =>3
सोरलोथ =>1
मोन्टेनेगो =>1
वरिया =>1
टाइसिट =>1
बहुउद्देश्य =>1
पिभोट =>3
आला =>1
फिक्सो =>3
विकेटकिपङ =>1
सरार्फ =>1
फखर =>2
वाहाब =>1
खुशदील =>2
सोहिब =>1
शादब =>3
रौफ =>2
हसनैन =>1
शाहनावाज =>1
दहानी =>1
कदिर =>1
जेनिश =>2
सनाउल्ला =>1
राइनी =>1
स्विट्जरल्याण्ड् =>1
फुटबलमम =>1
तोड्यो =>1
मान्सिनी =>1
स्विट्जरल्याण्डविरुद्ध =>1
जर्जिग्नोह =>1
सोमेर =>3
रंगशाल =>3
असिस्ट =>12
एआईएफए =>1
विनादर्शक =>1
सकर्थक =>1
अनुमत =>1
डिफेण्ड =>1
अनिरुड्ढ =>1
इफोर्ट =>1
लुकाक =>1
स्ट्राईकर =>1
भानाकेन =>3
हडेन =>1
हाजार्ड =>5
सालेमेकर्स =>1
भर्टोङगन =>1
ग्यारेथ =>2
कजान =>1
भिटाली =>1
लिसाकोभिच =>1
सेडिको =>1
बराबरीमी =>1
बेल्सजियम =>1
दुईखा =>2
प्याराफिट =>1
फुबटल =>1
मञ्जली =>1
गुराँसेदेवी =>1
सैलुङ =>8
तृशला =>1
आङथुपु =>1
कृष =>1
श्रृजल =>1
हिमाला =>1
अस्मिन =>1
विजेताद्वय =>1
आयेशा =>1
सन्जिवकुमार =>1
सन्जिला =>1
लक्ष्मणबहादुर =>1
शिवपुरीधाम =>1
रिपेज =>4
बेथ =>3
मुनरो =>1
ब्रियान्ना =>1
सालिनारा =>1
सर्वियन =>2
मारिजा =>1
मिसेभ =>1
प्यानिस =>4
क्याटलान =>6
प्यानिच =>3
बोस्नियन =>1
स्तानबुल =>1
कोएमन =>7
बुस्केट =>2
फ्रेन् =>4
पेड्रीसहित =>1
ट्रिओ =>2
खेलाउँदा =>1
एभरवन =>1
रिवेइरोले =>1
रिवेइरो =>1
इलिभ =>1
अमरि =>3
लाउटरो =>1
जोआक्विन =>2
कोरेअ =>2
एफर्सन =>1
सोटेल्डो =>2
न्जन =>1
डेक्लान =>1
माटिएस =>1
काएट =>1
विटसल =>1
पोकेट =>1
मेसोडेनिया =>1
गजराज =>3
गल्र्स =>2
गोल्फुटार =>1
सुवर्णकेशरी =>2
हिमालराज =>1
भोजानन्द =>1
निस्कर्षसहित =>1
एरोबिक =>1
पूर्वराष्ट्रिय =>1
सन्तोषसँगैगै =>1
एनपीओ =>2
हार्छौं =>1
खेल्छौं =>1
डिश =>3
नेकवर्क =>3
ओटिटि =>1
ओडिआई =>5
सम्मितिलि =>1
एडुअर्डो =>3
कामाभिंगा =>7
रेन्स =>2
एन्सेलोट्टी =>2
पाउछ =>1
किलिएन =>2
रेईम्स =>3
बाहेम =>1
लगएर =>1
मड्रिडलजाने =>1
अच्राफ =>1
एमबाप्प =>1
चोथो =>1
सर्जि =>1
जोर्दी =>2
अल्वा =>2
सान्ड्रो =>1
पेरि =>2
इम्मोबिल =>2
स्पेजिया =>3
रोमस्थि =>1
यन्जुरी =>1
फेलिपे =>1
एलसेइड =>1
स्पेविया =>1
ड्यानिएल =>2
भर्ड =>2
केल्भिन =>1
एडु =>1
ट्रायस =>1
स्ट्राटवर्ग =>1
पोचेटिना =>1
ईकार्डी =>1
लिभरपुलबो =>1
हाभार्ट =>1
चेम्स =>1
वेष्टहम =>6
वाट्मोर =>4
क्रिष्टियानो =>1
वर्ल्डकप =>2
डिओर =>2
सवार्धिक =>1
इटालिनय =>1
युटेन्टस =>2
स्टिमाक =>1
अमरिन्द्र =>1
मोइराङथेम =>1
गुरप्रीत =>1
सन्धु =>1
कोटल =>3
चिङलेसाना =>1
मन्दर =>1
भेके =>1
सुबासिस =>1
सिरिटो =>1
लालेङमावई =>1
अनिरुध =>1
लिस्टन =>2
कोलासो =>1
यासिर =>3
ग्लान =>1
मार्टिन्स =>1
वाङजम =>1
जेक्सन =>1
हाल्दर =>1
फारुख =>4
अग्रह =>2
मारिइ =>3
नछाड्न =>1
विशव =>1
आगाम =>1
वैैशाख =>1
लिपङिग =>1
लिपजिङ =>1
बर्गस् =>1
लिस्बोन =>1
डर्टमुण्ड =>1
बेसिक्टिस =>1
टिरास्पो =>1
बेन्फिा =>1
भिलारियल =>2
वल्फबर्ग =>1
लेगस्पीनर =>2
होबार्ट =>5
हुरिकेन्स =>2
बीबीएल =>1
इन्फोसाग =>1
भाइटालिटी =>2
ब्लास्ट =>3
टिमसाग =>1
पि्रमियर =>2
सीपीएल =>13
अमेरिकासाग =>1
म्याथ्युज =>1
भ्लाहोभिक =>1
कुन्हालाज्ञ =>1
उनली =>1
अट्यकिङ =>1
कोरिटिबा =>1
कुन्हाल =>1
सिओन =>1
लाइपिजग =>3
पुगर् =>1
जापन =>2
बाहिरिएँ =>2
स्ट्यास =>1
बनेयता =>3
पोदरा =>1
अक्टोकर =>1
चियरम्यान =>2
जेन्टलमेन =>1
वल्भ्सविरुद्ध =>1
इस्प्रितो =>1
सुल्झिए =>1
केलिएन =>4
लिओनार्दो =>4
इन्भिन्सिबल्स =>2
विकेश =>3
कुथु =>3
घाेषणा =>1
अन्चली =>1
केल्मी =>23
सपोर्टर =>2
योङसियाङ =>1
कजाखस्थान =>3
च्यालेन्जकप =>1
किर्गिस्तान =>7
कन्फेडेरेसन =>7
सम्मलित =>1
माईकल =>1
बेनराहमा =>1
थिलेमान्स =>1
अयोज =>1
टिमकाे =>1
जर्सीकाे =>1
प्रायाेजक =>1
माइसेकेन्ड =>2
छुम्बी =>1
उडिनेसी =>4
यभेनट्स =>1
बेहवरे =>1
डिबला =>1
पेरेयरा =>1
डेउलोफेउ =>1
नदादा =>1
सेलेब्रेसन =>1
माउरिन्होले =>1
भेरेटोट =>1
हेनरिख =>1
मिखातर्यन =>1
मिलेनकोभिक =>1
भनेजिया =>1
इनसिग्ने =>3
एल्जिफ =>1
स्पिरितोको =>1
फाउल =>3
क्लिनसिट =>4
पर्काए =>1
डिफ्लेक्स =>1
लालि =>1
ग्रीनउड =>3
सान्टान्डर =>1
विल्वायो =>1
हल्लाउँथे =>1
टिममेट =>2
युलेन =>2
अरिरेजाबाला =>1
बार्सिलोनाले =>1
मुनियन =>3
विजता =>1
टोटनहमम =>1
एतिहाड =>1
लापोर्ट =>1
यनुाइटेड =>1
खेलतालिका =>1
परिवर्तिन =>1
शहाब =>1
अटाएनन् =>2
व्वयस्थापक =>1
दाउद =>1
एनालिस्ट =>6
काशिभाई =>1
गोहित =>1
ग्रासरुट =>2
न्युरोट =>1
धम्रमान =>1
विनेश =>2
अमरलाल =>1
स्यान्टु =>1
एभीएम =>3
विलोश =>1
इभाना =>1
वियं =>1
खटाइएको =>1
ललितपुरे =>1
मनाग्य =>1
सउथै =>1
डोना =>3
डिफेन्सिभ =>2
कन्फेरेन्स =>6
फरेरा =>2
पराजत =>1
जदिलाउन =>1
पिएरलुइजी =>1
गोलिनी =>1
पेड्री =>11
फाटी =>5
मेसुके =>6
ओलोमोउ =>1
राजुकाजी =>1
कमिन्स =>2
इंगलिस =>3
स्विपसन =>1
मार्श =>1
रिचर्डसन =>1
अनक्याप्ड =>1
डानिल =>2
साम्स =>1
डेनील =>1
एस्पिनोजा =>1
मार्केज =>1
चेङ =>1
ताइपेइ =>3
सुधार्दै =>1
संजिला =>1
स्यामुएल =>1
सिएरा =>1
इक्वेटोरियल =>2
इथिओपिया =>1
केप =>5
भार्डे =>1
मोरक् =>3
कोमोरोस =>1
गाबोन =>1
बिसाउ =>1
मौरीटेनिया =>1
गाम्बिया =>1
हसँदैछ =>1
ट्रिनबागो =>7
सन्दीपकाे =>1
ट्रिनबागाे =>1
गरिसकेकाे =>2
सिरिजर =>1
पपुवान्यु =>1
पिएनजी =>4
भइसकेकाे =>2
चाैथा =>1
संस्करणबाे =>1
क्रसकन्ट्री =>1
सुन्दरकेशर =>1
आशराम =>1
गोठे =>1
सुशीलनरसिंह =>1
पूर्वसम्झौता =>1
तास्केन्त =>1
समूहबी =>1
पहिदो =>1
रजिन =>1
तमाङ =>2
अजिन् =>1
रहाने =>1
रोबिनसन =>1
ब्रेथवेइट =>4
मिकेट =>1
ओयाजाबाल =>4
मेस्सीविना =>1
वियजी =>1
आयतबार =>1
रामोन =>2
पिज्वन =>1
युसु =>1
नेसयरी =>2
इड्रिसी =>1
जिदान =>1
अजितकुमार =>1
कमिसनर =>2
हेउन =>1
स्टेभेन =>1
बर्जविन =>1
टोनहम =>1
एसपिरितो =>1
सुदख =>2
स्टेकहोल्डर =>1
स्ट्रासबर्ग =>3
इकार्की =>1
गेमेइरियो =>1
अयोर्क =>1
जिकु =>1
क्यास्पर =>3
डलबर्ग =>4
हिचेम =>1
बोउदाइ =>1
गौइरी =>1
भियारियालविरुद्ध =>1
टुचेल =>1
नमनाउँदा =>1
कुर्ट =>4
चालो =>1
नाथनीय =>1
मेम्पिस =>1
मानाज =>4
पाटने =>1
रुट्स =>1
राफाय =>1
थण्डर्स =>2
अयिलिङ =>1
मिनेटभित्र =>1
भिक्टोर =>1
लिन्डलोफ =>1
डानिएल =>1
मार्कवस =>1
पुलिसिक =>1
अब्दोलाए =>1
डेकोउरे =>1
काल्भार्ट =>1
आम्सट्रङ =>1
म्युनिक =>6
अलासाने =>1
प्लेअ =>1
लार्स =>2
स्टिन्डल =>1
रेवान्डोस्की =>1
नोए =>1
ग्लाडबाक =>2
देउवो =>1
नागेल्समान =>2
हान्सी =>2
फल्कि =>1
अला =>3
डुगलास =>1
कोस्टा =>2
जेरोमी =>1
बोएटेङ =>1
डायोट =>1
उपामेकानो =>1
वेडर =>1
ब्रेमन =>1
साल् =>1
नेप्लेज =>1
स्यान्सू =>1
जिताउँदा =>1
अनसङ =>1
आईलिग =>2
प्लेखर =>1
वेसाइट =>1
एन्डरलेट =>1
वेष्टब्रोम =>1
एस्टल =>2
सिस्क =>1
मेस्टाल्ला =>2
क्याटलाना =>1
ताइपेई =>5
श्रींल =>1
पंकजविक्रम =>3
दिनुपर्न =>1
विन्डाेरस =>1
मिनेटकाे =>1
जियाच =>1
मोरेनाे =>1
केपा =>1
अरिजाबालागा =>1
अल्बिओल =>1
राेक्दै =>1
अईसा =>1
मान्डीकाे =>1
राेके =>1
हाभार्टकाे =>1
सर्जियाे =>1
असेन्जाे =>1
टाइम्प =>1
डेपलपमेन्ट =>1
बार्कले =>1
पेप्सि =>4
नूई =>1
मराठे =>1
नजीर =>1
हुन्ने =>1
भखर्रै =>1
गाम्पर =>2
ट्रफीअन्तर्गत =>1
युभेन्ट्सविरुद्ध =>1
लगाएनन् =>2
जियानफ्रान् =>1
जोला =>1
रिभाल्डो =>2
रोनाल्डिनो =>1
चर्तित =>1
कुएलर =>1
ओलिभिएरा =>1
लिटमानेन =>1
हुवाँ =>1
रिक्वेल्मे =>1
रोनाल्डिन्हो =>1
अष्ट्रेलियाविरुद्ध =>1
दोना =>1
उर्जन =>1
टोद्यी =>1
ग्राण्डहोम =>1
च्यापम्यान =>2
अस्टेल =>1
कोनवे =>3
केल =>3
जेमिसन =>1
जिम्मी =>3
फिलिपिस =>1
साइफर्ट =>1
सैफुद्दिन =>1
म्याथ्य =>1
म्याकडेर्मोट =>1
डानिश =>1
भित्राउँदा =>2
हिटिङ =>4
अप्रेसन्स =>1
डाइरटेक्टर =>1
आएयता =>5
युभेन्टसविरुद्ध =>2
चोटमुक्त =>1
औस्माने =>1
खेलेनन् =>2
एसियल =>1
एभीसी =>7
एभिसी =>1
अजवाल =>1
सेगुन =>2
एडेलाजा =>1
सोमिडे =>1
गुमाउनेछौं =>1
माथिस =>3
लिग्ट =>4
रिकार्ड =>1
पुईग =>1
गाेल्छा =>3
पुस्ताो =>1
स्पाेनसर =>1
प्रेमीकाे =>1
उत्कृष्टताकाे =>1
कपकाे =>1
खालकाे =>1
गारेथ =>1
एडर =>1
मिलिटाओ =>2
रियलल =>1
मेइगनान =>1
क्ल =>2
ताईपेइ =>1
केलेची =>1
ईहनाचो =>3
वेम्बली =>2
भिएआरबो =>1
सिटीबा =>1
केन्याली =>1
एलिउड =>1
किपचोगे =>6
नागिये =>1
ट्रोएस =>3
ओएलिड =>1
हाजिम =>1
अच्रफ =>2
नहा =>1
नान्ट्स =>1
ओलम्पिकअन्तर्गत =>4
किनेट =>2
स्टिना =>1
ब्लाक्स्टेनिउस =>1
जेस्सी =>21
फ्लिमीङ =>2
क्यानडाबा =>1
जुलिया =>3
ग्रोस्सो =>1
नाथलिया =>1
बिजोर्न =>1
अरियाल =>1
बेलायतविरुद्ध =>2
पाकिस्तानविरुद्ध =>4
साइटा =>1
क्वाटर् =>1
डुरान्ट =>1
जनाउँदा =>2
माल्कोम =>3
म्याथुएस =>1
ओयार्जाबल =>2
निसान =>8
रिचार्लीसन =>1
रंगशनला =>1
कोर्डोभा =>2
भास्क्वेज =>3
अर्नेस्टो =>1
भेगा =>3
कोरु =>1
मिटोमा =>2
गोव =>1
पब्बा =>1
बेनौली =>4
भदई =>4
जटाशंकर =>1
व्याट्स =>1
फिल्डर =>2
कामारु =>1
ओलम्पिक्स =>1
मुताइरी =>1
संयोजकत् =>1
केसरी =>1
चन्द्रवन्दना =>1
काशि =>1
सकर =>1
डानी =>6
अल्भेज =>1
मार्टिनेली =>1
गुइमाराएस =>1
रेइनर =>1
अगुएरे =>2
समयम =>5
असेन्सिओ =>2
उँचाइ =>1
सिमनौस्काया =>1
ववसन्तराज =>1
विधानत =>1
असमझदारी =>5
प्रस्त =>1
मुताज =>1
एसा =>1
बार्शिम =>4
जियानमार् =>1
ताम्बेरी =>4
माक्सिक =>1
नेदासेकाउ =>1
प्रायस =>2
अंगलो =>1
सिमीओनी =>1
उपवेजता =>1
चरक =>2
लामोन्ट =>1
ज्याकोब्स =>4
स्प्रीन्ट =>1
केरले =>1
जमैकन =>1
युसेन =>1
मिलिसेकेण्ड =>5
फरेस =>1
बाख =>3
वेइटलिफ्टिङ =>1
स्न्याच =>3
जर्क =>5
जर्कक =>1
भेजेजुएला =>1
जिओभान =>1
भालेनिला =>1
जर्जिया =>4
प्लेसनोइ =>1
क्लियन =>1
स्वीमर =>4
एम् =>2
म्याकेओन =>1
सोभियन =>2
जिम्न्यास्ट =>2
गोरोखोभ्स्का =>1
एम्मा =>5
फेल्प्स =>2
स्पिट्ज =>1
बिओन्डीस =>1
ब्रिसबन =>9
दक =>1
थोर्प =>1
लेइसन =>1
डेकोरेटेड =>1
ओलम्पिन =>1
मिक्सड =>1
एलाइन =>1
थोम्पसन =>2
हेरा =>1
सेली =>2
फ्रेसर =>2
ज्याक्सन =>2
ग्रिफिथ =>6
जोएनर =>2
माथेउस =>3
कुन्साह =>1
रोमो =>1
डोङ =>2
केयोङ =>1
स्टोक्स =>8
टेनिक्स =>1
नाओमी =>2
बाइल्स =>6
स्वास्थ्यला =>1
खेलल =>1
स्टोकस् =>1
इसीबि =>1
फेन्सिङ =>3
इपी =>1
गृष्मकालिन =>1
युई =>1
ओहासी =>1
स्केटबाेर्डिङ =>1
मोमीजी =>2
निसिया =>1
मिक्स्ड =>1
डबल्स =>7
आठाैं =>1
दिनकाे =>1
आईजेएफ =>3
लेसिन =>1
आयुशसिंह =>1
सेर्गइ =>2
दीपकहर्ष =>2
धर्मकुमार =>1
जेभरेभ =>3
ग्राण्डस्लाम =>4
युसएस =>1
जेभरेज =>1
कारेन =>1
खाचोनोभ =>1
बताएका =>3
मोजाम्बिक =>4
अम्पाएर =>1
पछाए =>1
स्काेर =>1
हसारांगा =>1
अबदुलेलाह =>1
आईभरीकोष्ट =>1
आइभरीकोष्ट =>3
मियागी =>2
हेन्रिक्स =>1
लोएवेन =>1
होन्डुरोस =>1
जिमन्यास्ट =>1
अराउण्ड =>2
लिनेछिन् =>3
छानिन =>1
अब्वाईटिक्स =>1
हिट्स =>1
तोकुसिमा =>1
मिलिसेकन्ड =>1
यू् =>1
छुु =>1
सागन =>1
तोसु =>1
बक्रा =>1
श्यान्सु =>6
न्यि =>1
हडबडाए =>1
न्यिका =>5
उलादजिस्लाउ =>1
स्मियालिकाउ =>1
नदेखेको =>1
बर्मुडा =>9
फ्लोरा =>4
डफी =>6
जितेक =>1
ओडाईबा =>1
जाफेरस =>1
केटीइ =>1
हिडिल्यन =>1
भारत्तोलन =>2
अब्दुलरसुल =>3
तोहार =>1
बुत्बुल =>3
फेती =>1
नौरिने =>1
एथ्लेट =>1
ब्रिजटाउन =>1
एगर =>4
स्टार् =>1
सरिज =>1
एलेकजान्डर =>1
एक्वाटिक्स =>1
गुएना =>3
सोलोमन =>1
कीर्तिमानधारी =>1
तोकुसिमो =>2
कार्कील =>1
सेजार =>1
सेइलो =>1
हिडिलिन =>1
डिया =>2
लियाओ =>3
कियुयुन =>1
छोपिन् =>1
उठाइन् =>1
क्लजियन =>1
कजाखस्तान =>1
जुलफिया =>1
चिनसान्लो =>2
डोपिङ =>3
निशिया =>2
स्केटबोर्डिङ =>4
रायसा =>1
लेअल =>2
फुना =>1
नाकायामा =>1
पदत =>1
मोर्जोरिइ =>1
गेस्ट्रिङ =>2
स्प्रिङबोर्ड =>1
कोकोना =>2
चारिथ =>1
असलंका =>2
दसुन =>1
अफआउट =>1
देखिएँ =>1
देािखए =>1
असझदारी =>1
दिइसक्नुभए =>2
कन्फ्युजन =>2
अल्मुताइरीे =>1
गिरोना =>3
जिम्न्यास्टिक =>1
सैज =>1
गर्दौ =>1
इरिना =>6
डोल्गोभा =>1
इप्पोन =>1
टिकिन् =>1
रिपेच =>1
वाइल्डकार्ड =>1
बाउट =>1
एम्पेरर =>1
बाक =>3
सड्ड =>1
मिसिया =>1
किमियागो =>1
युनुस =>1
लाउरेल =>1
टोकिया =>1
सुधारिन् =>1
रेस्टलिङ =>1
सानोउस्यी =>1
नादिएम =>1
अमिरी =>1
राग्नर =>1
अचे =>1
अर्जनेटिना =>1
लाभलन =>1
तिलिओ =>1
ओर्टेगा =>2
ताकेफुसा =>1
कुबो =>1
तोकुशिमा =>2
जाँदैछिन् =>1
जनाउनेछिन् =>1
जाजा =>4
लेबनानी =>1
साहाकियन =>1
होप्स =>1
हिराकी =>2
जाज =>1
इक्वेस्ट्रियन =>4
बनाउनेछिन् =>1
लोर्ना =>1
जोन्स्टोन =>1
डोल्गाभा =>1
मिलानी =>1
फुपुल्यामु =>1
सेबास्टिन =>1
कवर्डोभा =>1
अन्टुना =>1
एडुएर्डो =>1
अगुएर =>1
गिगनाक =>1
दाबेरदार =>1
कासि =>1
बुधबारभए =>1
पाराओलम्पिक =>2
कमिटमेन्ट =>1
मार्टा =>7
फोर्मिगा =>2
ल्याब्रोटरी =>2
बार्बेडोस =>1
डिएल =>3
धातक =>1
पिलिपे =>1
हाएडेन =>1
सफ्टबल =>6
पिचर =>1
युकि =>1
यएनो =>1
फुकुसि =>1
अजु =>1
बेसबल =>4
फुटबलअन्तर्गत =>1
ओलम्पिकक =>1
विशवभर =>1
खेलाइँदैछ =>1
क्रुनल =>1
वानिन्नदु =>1
हासारंगा =>1
कोलोम्बो =>6
प्रेमदासा =>1
आभिस् =>1
मिनोद =>1
भानुका =>1
जोडेचमि =>1
इन्द्रकुमारी =>1
गइसकेको =>1
एडमिनेस्ट्रेसन =>1
मोम्मद =>1
महमुद =>2
अदिल =>4
लिभिङ्गस्टोन =>1
मोहाद =>1
हासनेन =>1
इस्तानबुलाट =>1
यूईएफ =>1
अटाटर्क =>1
डब्लिन =>3
सेभियल =>1
युरवपा =>1
बुढापेष्ट =>1
साइक्लिस्ट =>2
गोलपार्क =>3
ट्राफिकचोक =>1
बनवाटि =>1
कुन्जपार्क =>1
डिंगरनगर =>1
बटवल =>1
एकु =>1
काजकिस्तान =>2
ईन्ट्री =>1
परेक =>1
ब्रेन्टल =>1
मोसराफे =>1
मोर्तजा =>2
आर्म =>5
मोर्ताजा =>1
जानाउने =>1
एलेक्जेन्डर =>6
इन्द्राकुमारी =>1
युनिभर्सियालिटी =>1
बोक्नेछन् =>4
अप्सटर =>1
इन्टेरिएर =>1
क्रुसिएट =>1
लिगामेन्ट =>3
उनबो =>1
अस्पटर =>1
एईएफ =>1
इक्वेस्टेरियन =>1
एफआईआई =>1
पेगिंग =>1
आईटीपीएफ =>1
लुसिया =>2
जाउक्स =>1
मनरो =>1
डारेन =>2
लेन्डल =>1
रामदिन =>1
राम्पाल =>1
हेडन =>1
इसुररु =>1
उदाला =>1
नेभिसस्थि =>1
डिएरियो =>1
स्पोर्टिउ =>1
अप्रिका =>1
ताब्रेज =>2
एदिल =>1
चतुरानन्द =>2
राजवैद्य =>3
प्रशिक्षणरत =>1
क्यारिङगटन =>1
बेलब्रिनी =>1
एकदवसीय =>1
पछ्या =>1
रासी =>1
अडीर =>1
जोशुवा =>1
म्याकब्रायन =>1
डकरेल =>2
बेलबिर्नीले =>1
टेक्टर =>1
फेलुक्वायो =>1
कवर्ट =>1
बफू =>1
मुरे =>1
विम्बल्डन =>3
बेईजिङ =>2
जोहना =>1
कोन्टा =>2
फेडेर =>1
कोन्ता =>1
गराण्ड्सलाम =>1
नाडल =>1
वाबरिन् =>1
किर्गि =>1
विलयम्स =>1
आजाम =>1
भिन्स =>2
ग्रेग्रोरी =>1
योगदा =>1
क्रली =>1
इमाम =>4
ब्राएडन =>1
कार्स =>1
सकिब =>7
मोहमुद =>1
मवर्गन =>1
पर्ष =>1
वऊल =>1
रेसिङ =>1
इन्डिजल =>1
मेरेडिथ =>1
मोइसिस =>1
हेनरिके =>1
हेएडन =>1
यटली =>1
मिस्लाभ =>1
ओर्सिक =>1
तोडि =>4
युगोस्लाभाकिया =>1
व्यस्थाअुसार =>1
महासिचव =>1
निलेन्द्र =>1
महिल =>1
ओलम्पकि =>1
बेरेट्टिनी =>2
लेभर =>2
ग्लाण्ड =>2
बेन्जा =>1
डोनारुम्बा =>3
आन्द्रेज =>1
इनेएस्टा =>1
रेनाटो =>1
फुटबलप्रेमी =>3
अजेन्टिना =>1
माराकाना =>4
जेनेरियो =>3
सिठी =>1
ठाउँङ्तिगा =>1
टोलीनजिक =>1
स्कालोनी =>9
थाल्नुहुनेछ =>1
खेलाडीविना =>1
प्रतियोगता =>2
सकालोनी =>1
मार्टिनजेल =>1
असारऽ =>1
वेम्वली =>8
दर्श =>1
सेमिफइनल =>1
फ्यान्स =>3
जर्जियो =>1
किलिएनी =>1
सम्हाल्नेछन् =>3
योङ्गस्टर =>1
खेल्दैनन् =>1
बस्नैनन् =>1
फर्म्याट =>11
इन्भिन्सिबल =>1
ओरिजिनल्स =>1
वोर्सेस्टरसायर =>1
भायटालिटी =>1
सीपीए =>1
मेट्रोपोलिटान =>1
तामायो =>1
मारुकावा =>1
योशिहिदे =>7
फेलिरहेका =>1
सेइ =>1
हासिमोटो =>1
मिकीसिटी =>1
रारीगुराँस =>3
अकेमी =>1
मिजुबा =>1
कसिम =>1
क्याटगोरीअन्तर्गत =>1
दिइसकेकोछ =>1
बराबी =>1
डाम्सगार्ड =>1
बुकाय =>1
साको =>1
क्यासपर =>1
स्माइकल्से =>1
रिबाउण्ड =>1
इंग्ल्याण्डल =>1
युगोस्लाभिया =>2
जोडिँदै =>3
बिर्सन्न =>1
खेलेफी =>1
जर्जिनिओ =>1
स्पनविरुद्ध =>1
धन्यावाद =>2
आरएआई =>1
सन्टिमिटर =>1
शंखमूल =>10
ओआरमी =>1
निलेन्द्रराज =>1
अभिलेखीकृत =>1
क्षितिजअरुण =>1
लोकाटोली =>1
उनाइ =>3
बेलोट्टी =>1
मवरेनो =>1
अलकान्टारा =>1
जियानलुजी =>1
बचाउँदा =>1
फेनोमेनो =>1
अल्बिसेलेस्टे =>1
ब्रासिलिया =>1
अर्जेन्टिनाला =>1
स्कोलानी =>2
निल्टन =>2
